DOI;PMID;arXiv ID;Title;Abstract;Authors;Journal;Year
10.1186/s12961-020-00669-8;33388085;;"Menstrual hygiene management in schools: midway progress update on the ""MHM in Ten"" 2014-2024 global agenda.";Progress has been made in recent years to bring attention to the challenges faced by school-aged girls around managing menstruation in educational settings that lack adequate physical environments and social support in low- and middle-income countries. To enable more synergistic and sustained progress on addressing menstruation-related needs while in school, an effort was undertaken in 2014 to map out a vision, priorities, and a ten-year agenda for transforming girls' experiences, referred to as Menstrual Hygiene Management in Ten (MHM in Ten). The overarching vision is that girls have the information, support, and enabling school environment for managing menstruation with dignity, safety and comfort by 2024. This requires improved research evidence and translation for impactful national level policies. As 2019 marked the midway point, we assessed progress made on the five key priorities, and remaining work to be done, through global outreach to the growing network of academics, non-governmental organizations, advocates, social entrepreneurs, United Nations agencies, donors, and national governments. This paper delineates the key insights to inform and support the growing MHM commitment globally to maximize progress to reach our vision by 2024. Corresponding to the five priorities, we found that (priority 1) the evidence base for MHM in schools has strengthened considerably, (priority 2) global guidelines for MHM in schools have yet to be created, and (priority 3) numerous evidence-based advocacy platforms have emerged to support MHM efforts. We also identified (priority 4) a growing engagement, responsibility, and ownership of MHM in schools among governments globally, and that although MHM is beginning to be integrated into country-level education systems (priority 5), resources are lacking. Overall, progress is being made against identified priorities. We provide recommendations for advancing the MHM in Ten agenda. This includes continued building of the evidence, and expanding the number of countries with national level policies and the requisite funding and capacity to truly transform schools for all students and teachers who menstruate.;Marni Sommer,Bethany A. Caruso,Belen Torondel,Elodie C Warren,Brooke Yamakoshi,Jackie Haver,Jeanne Long,Thérèse Mahon,Ella Nalinponguit,Neville Okwaro,Penelope A. Phillips-Howard;Health Research Policy and Systems;2021
10.1111/j.1742-7924.2011.00191.x;22583945;;Working conditions associated with ovarian cycle in a medical center nurses: a Taiwan study.;Aim: Decreased basal body temperature measurements predict ovulation with an accuracy of 74%. The anovulatory cycle exhibits an ovarian monophasic pattern. This study evaluated the relationship between ovarian cycle pattern and sociodemographic characteristics, menstrual history and work characteristics of nurses in a Taiwan medical center.;;;
10.1111/j.1471-0528.2009.02220.x;19459861;;Is exercise associated with primary dysmenorrhoea in young women;Please cite this paper as: Blakey H, Chisholm C, Dear F, Harris B, Hartwell R, Daley A, Jolly K. Is exercise associated with primary dysmenorrhoea in young women? BJOG 2010;;;
10.1016/j.jpag.2014.07.005;26046607;;Dysmenorrhea: Prevalence and Impact on Quality of Life among Young Adult Jordanian Females;Abstract   Study Objective  To establish the prevalence and impact on quality of life of dysmenorrhea among young adult Jordanian females.    Design  Cross-sectional study based on quantitative self-reported anonymous questionnaire.    Setting  University-based study.    Participants  A total of 272 female medical students (aged 19-25years).    Intervention  None.    Main Outcome Measures  Self-reports of menstruation-related pain symptoms and methods of dealing with them.    Results  Of study subjects 152/272 (55.8%) participants had moderate and severe dysmenorrhea. Of them, 55.8% had a family history of severe dysmenorrhea compared with 33.1% of those without dysmenorrhea (χ2=13.40, df=1, P    Conclusions  Dysmenorrhea is highly prevalent among young adult Jordanian females and seems to negatively affect quality of life, particularly as related to university attendance and performance and social relationships.;Moamar Al-Jefout,Abu-Fraijeh Seham,Hijazeen Jameel,Al-Qaisi Randa,Al-Ma'aitah Ola,Al-Ma'aitah Oday,Georgina Luscombe;Journal of Pediatric and Adolescent Gynecology;2015
10.1002/14651858.cd002248.pub3;17636702;;Behavioural interventions for primary and secondary dysmenorrhoea;Background: Dysmenorrhoea refers to the occurrence of painful menstrual cramps of uterine origin and is a common gynaecological condition with considerable morbidity. The behavioural approach assumes that psychological and environmental factors interact with, and influence, physiological processes. Behavioural interventions for dysmenorrhoea may include both physical and cognitive procedures and focus on both physical and psychological coping strategies for dysmenorrhoeic symptoms rather than modification of any underlying organic pathology. Objectives: To determine the effectiveness of any behavioural interventions for the treatment of primary or secondary dysmenorrhoea when compared to each other, placebo, no treatment, or conventional medical treatments for example non-steroidal anti-inflammatory drugs (NSAIDs). Search strategy: We searched the Cochrane Menstrual Disorders and Subfertility Group Trials Register (searched April 2005), Cochrane Central Register of Controlled Trials (CENTRAL on The Cochrane Library, Issue 2, 2005), MEDLINE (1966 to April 2005), EMBASE (1980 to April 2005), Social Sciences Index (1980 to April 2005), PsycINFO (1972 to April 2005) and CINAHL (1982 to April 2005) and reference lists of articles. Selection criteria: Randomised controlled trials comparing behavioural interventions with placebo or other interventions in women with dysmenorrhoea. Data collection and analysis: Two authors independently assessed trial quality and extracted data. Main results: Five trials involving 213 women were included. Behavioural intervention vs control: One trial of pain management training reported reduction in pain and symptoms compared to a control. Three trials of relaxation compared to control reported varied results, two trials showed no difference in symptom severity scores however one trial reported relaxation was effective for reducing symptoms in menstrual sufferers with spasmodic symptoms. Two trials reported less restriction in daily activities following treatment with either relaxation of pain management training compared to a control. One trial also reported less time absent from school following treatment wit pain management training compared to a control. Behavioural intervention vs other behavioural interventions: Three trials showed no difference between behavioural interventions for the outcome of improvement in symptoms. One trial showed that relaxation resulted in a decrease in the need for resting time compared to the relaxation and imagery. Authors' conclusions: There is some evidence from five RCTs that behavioural interventions may be effective for dysmenorrhoea however results should be viewed with caution as they varied greatly between trials due to inconsistency in the reporting of data, small trial size, poormethodological quality and age of the trials.;Michelle Proctor,Patricia Aikins Murphy,Helen M Pattison,Jane A Suckling,Cindy Farquhar;Cochrane Database of Systematic Reviews;2007
10.1186/1471-2458-6-177;16824213;;WHO systematic review of prevalence of chronic pelvic pain: a neglected reproductive health morbidity.;Background;;;
10.1016/j.pmn.2015.07.001;26328887;;Prevalence of Primary Dysmenorrhea and Factors Associated with Its Intensity Among Undergraduate Students: A Cross-Sectional Study;Primary dysmenorrhea is a womanhood problem around the world and negatively affects quality of life. This study was designed to investigate the prevalence of primary dysmenorrhea and to determine the factors associated with its intensity. A cross-sectional study was carried out among 311 undergraduate female students aged 18 to 27 years in Isfahan University of Medical Sciences, Iran. Socio-demographic characteristics and menstrual factors were obtained through interviews with the help of a pretested questionnaire. The prevalence of primary dysmenorrhea was 89.1%. Residing at home, younger age, lower number of years of formal education for the mother, positive family history of dysmenorrhea, higher severity of bleeding, and shorter menstrual period intervals were significantly associated with the higher intensity of primary dysmenorrhea. Primary dysmenorrhea is a common health concern among young women. Being aware of the factors that are associated with its intensity makes it possible for health professionals to organize better focused programs to reduce the adverse effects of dysmenorrhea.;Nahal Habibi,Mary Soo Lee Huang,Wan Ying Gan,Rejali Zulida,Sayyed Morteza Safavi;Pain Management Nursing;2015
10.1111/j.1447-0756.2010.01362.x;21208343;;The prevalence of menstrual pain and associated risk factors among Iranian women;Aim: To estimate the prevalence of dysmenorrhea in Iranian women and investigate associated risk factors.;;;
10.1016/j.ejpain.2007.11.007;18249016;;"Women and visceral pain: are the reproductive organs the main protagonists? Mini-review at the occasion of the ""European Week Against Pain in Women 2007"".";;Maria Adele Giamberardino;European Journal of Pain;2008
10.4314/thrb.v11i4.50173;20734697;;Menstrual discomfort and its influence on daily academic activities and psychosocial relationship among undergraduate female students in Nigeria;Menstrual disorder is a common health problem among females in their reproductive years. It has psychosocial effects on the sufferer and her interactions with others during such periods. In Nigeria, menstrual disorder has received little research attention especially in the public health agenda. This study combines quantitative and qualitative approaches in investigating the prevalence of dysmenorrhoea and menorrhagia and their psychosocial effects by focusing on the daily activities of female undergraduates at the Obafemi Awolowo University, Ile-Ife, Nigeria. A multi-stage sampling technique was employed to select 415 female undergraduates at the University. A snowball sampling technique was used in selecting 37 informants for the in-depth interviews. Results showed a high prevalence of dysmenorrhoea (64%) among respondents within 3 months prior to this study. Dysmenorrhoea was significant among female students who reported dizziness, headache, depression and irritation;;;
10.1111/j.1479-828x.2008.00869.x;18837854;;Prevalence and correlates of dysmenorrhea among Nigerian college women.;The study assessed first year students in a Nigerian university (n = 409) for dysmenorrhea. The prevalence of dysmenorrhea was 53.3% and most students experienced pain at onset of menses. About half of the students reported that menstrual pain interferes with their normal daily activity. The independent predictors of dysmenorhea were longer days of menstrual flow, younger age at menarche and lower scores on extraversion scale. College health-care providers should screen routinely for dysmenorrhea among students and offer treatment. As dysmenorrhea reportedly affects school performance and attendance, more attention should be devoted to providing health education on this topic to students.;Olabisi M. Loto,Tomi A. Adewumi,Abiodun O. Adewuya;Australian & New Zealand Journal of Obstetrics & Gynaecology;2008
10.1080/07399332.2013.868465;24313552;;Menstruation during a lifespan: A qualitative study of women's experiences.;Menstruation is a natural phenomenon for women during their reproductive years. Our aim was to describe women's experiences of menstruation across the lifespan. Qualitative interviews with a narrative approach were conducted with 12 women between 18 and 48years of age in Sweden. Using thematic analysis, we found menstruation to be a complex phenomenon that binds women together. It is perceived as an intimate and private matter, which makes women want to conceal the occurrence of menstrual bleeding. Over time, menstruation becomes a natural part of women's lives and gender identity. Health professionals play a central role supporting women to deal with menstruation.;Ida Emilie Brantelid,Helena Nilvér,Siw Alehagen;Health Care for Women International;2014
10.1016/j.jpag.2006.05.002;16873031;;Knowledge, Attitudes, and Consequences of Menstrual Health in Urban Adolescent Females;Abstract   Purpose  There is a lack of current information concerning the knowledge and attitudes of urban adolescents regarding menstruation. The purpose of this research was to determine: (1) The prevalence of dysmenorrhea, premenstrual symptoms and other menstrual disorders among adolescents who receive their health care at an urban adolescent health center;;;
10.1111/j.1471-0528.1990.tb02545.x;2390501;;Factors influencing the prevalence and severity of dysmenorrhoea in young women.;Summary. Factors influencing the prevalence and severity of dysmenorrhoea were assessed longitudinally in a representative sample of young women born in 1962. The prevalence of dysmenorrhoea was lower (P<0.01) at 24 years of age than at 19 years of age. At 24 years of age, 67% of the women still experienced dysmenorrhoea;;;
10.12968/pnur.2012.23.4.195;;;Treatment options for dysmenorrhoea;Margaret Perry discusses the treatment and management of primary and secondary dysmenorrhoea;Margaret Perry;Practice Nursing;2012
10.1016/j.jpag.2014.07.002;25823719;;Dysmenorrhea Management and Coping among Students in Ghana: A Qualitative Exploration.;Abstract   Study Objective  The study sought to gain an in-depth understanding of primary dysmenorrhea management and coping strategies for dysmenorrhea among adolescents and young adults who were in school.    Design  The study adopted a qualitative exploratory approach using a descriptive phenomenology to explore the phenomenon of interest.    Setting  The study was conducted in two educational institutions in Accra, Ghana: a Senior High School (SHS) and a University.    Participants and Data Collection  Sixteen participants were purposively recruited (8 SHS and 8 University students) through snowball sampling. Individual interviews were conducted in English, audio-taped, transcribed and analysed using content analysis procedures. Informed consent was obtained from all participants and rigor was ensured through prolonged engagement and member checking.    Results  Participants employed both pharmacologic (orthodox and herbal) and nonpharmacologic approaches such as warm compress, exercise, and water and diet therapy for their dysmenorrhea. Students' dysmenorrhea was managed at the school clinic and the hospital. Health professionals demonstrated negative attitudes towards dysmenorrhea management. Students coped with dysmenorrhea by planning activities before the onset of pain, receiving social and spiritual support, and developing a mind-set to bear pain.    Conclusions  Individualized approaches should be employed to enhance dysmenorrhea management. Health professionals should be educated on dysmenorrhea to improve their attitude and skills for dysmenorrhea management.;Lydia Aziato,Florence Dedey,Joe Nat Clegg-Lamptey;Journal of Pediatric and Adolescent Gynecology;2015
